pool	chain	project	symbol	tvl	apyBase	apyReward	apy	cnt	outlier	cls	prob	corr.apy.tvl	corr.apy.tvl.ma30
e7c6c700-6161-4864-8405-0c3dea87d5ba	Polygon	hop-protocol	USDT	216225	1.15599	0.0	1.15599	38	False	Stable/Up	72.0	-0.16782468299126532	-0.05372232710847525
0e84ae63-98ff-4b67-a355-9c3e1046e95c	Ethereum	dforce	DAI	212749	7.27904	0.0	7.27904	64	False	Down	74.0	-0.9399871597801639	-0.7851016022498329
16782046-8267-4773-9e2b-232c9124162d	Avalanche	yield-yak	USDT.e	212670	5.48	0.0	5.48	38	False	Down	65.0	0.08388268381795809	0.04738659554319427
a31033f1-a477-465f-882b-8f92e71afe16	Ethereum	yearn-finance	yvSUSHI	211031	8.67663	0.0	8.67663	209	False	Down	71.0	0.8604331780597616	-0.6437391149036785
5f36df24-0017-4b9e-afde-433e60315eb2	Polygon	tetu	USDT	203795	0.0	10.06018	10.06018	26	False	Down	68.0	0.059263671531123975	0.059263671531123975
ecf9ea28-f6ac-4fcd-9f74-5ffebc3caa9d	Binance	acryptos	BUSD	198955	1.85	0.0	1.85	57	False	Stable/Up	69.0	-0.8689931587494601	-0.6705542472334186
ae20f62c-0e2c-4c90-892c-2c6d6d3c5fa2	Avalanche	yield-yak	USDT	197367	3.67	0.0	3.67	38	False	Stable/Up	54.0	-0.44491032111262885	-0.5250351125696269
55790f40-e887-44af-ac76-3f04bee6eaaf	Fantom	yearn-finance	yvUSDT	189213	0.88511	0.0	0.88511	197	False	Stable/Up	80.0	0.18939164385775842	-0.19507097705639878
9078aa8f-7378-4969-925e-567e0c9b8da9	Ethereum	mero	USDC	184195	8.50277	0.0	8.50277	15	False	Down	64.0	-0.8318804185871479	-0.8318804185871479
406d7975-78ad-4c0f-80d9-962b8900bc93	Polygon	dforce	DAI	181078	5.17629	0.0	5.17629	64	False	Down	56.99999999999999	-0.5926922396172832	-0.42876942702813137
e0e1b75f-8fd1-41f0-bf86-674086195472	Binance	acryptos	USDC	175941	8.13	0.0	8.13	58	False	Stable/Up	56.99999999999999	0.6083333909836462	0.7319793432000691
80acab2f-b9fa-4252-bfa1-6447baf1ece8	Ethereum	vesper	veDAI	174273	0.0	7.42	7.42	119	False	Down	77.0	0.5529169914712649	0.1413577821303449
6519a4b3-1208-4b74-bd11-29df82189045	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
e7ac1509-b93a-45e1-a792-dca8dc82b55a	Fantom	tarot	USDC	171102	4.07037	0.0	4.07037	6	False	Stable/Up	81.0	0.46955538058666046	0.46955538058666046
2702189d-fe7a-46ff-9d6b-30e1441f6b7f	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
21b87a69-7c9a-474d-b3a6-6d60433fd0b5	Fantom	tetu	USDC	168037	5.18383	0.07023	5.25406	26	False	Stable/Up	60.0	0.6235423625091098	0.6235423625091098
7ef7618c-4801-4f01-9ed5-c55f64979a2b	Arbitrum	dforce	DAI	165794	8.1032	0.0	8.1032	64	False	Down	61.0	-0.8317263915804904	-0.6814766135114011
11c94295-5b61-4d28-8792-79464de3c68a	Arbitrum	hop-protocol	DAI	163078	3.28868	0.0	3.28868	38	False	Stable/Up	74.0	-0.16640279154934315	0.09665501517686309
